,ITEM,BTOS (Heirarchy order),BTOS
789,1142,502,F
790,1143,502,F
791,1144,502,F
792,1145,502,F
793,1146,502,F
794,1147,502,F
795,1148,502,F
796,1149,502,F
797,1150,502,F
798,1151,502,F
799,1152,502,F
800,1153,502,F
801,1154,502,F
802,1155,502,F
803,1156,502,F
804,1157,502,F
805,1158,502,F
806,1159,502,F
807,1160,502,F
808,1161,502,F
809,1162,502,F
810,1163,502,F
811,1164,502,F
812,1166,502,F
813,1167,502,F
814,1168,502,F
815,1169,502,F
816,1170,502,F
817,1171,502,F
818,1172,502,F
819,1173,502,F
820,1176,502,F
821,1177,502,F
822,1179,502,F
823,1180,502,F
824,1181,502,F
825,1182,502,F
826,1183,502,F
827,1184,502,F
828,1187,502,F
829,1188,502,F
830,1190,502,F
831,1191,502,F
832,1192,502,F
833,1193,502,F
834,1194,502,F
835,1195,502,F
836,1196,502,F
837,1197,502,F
838,1198,502,F
839,1199,502,F
840,1201,502,F
841,1202,502,F
842,1203,502,F
843,1204,502,F
844,1205,502,F
845,1206,502,F
846,1207,502,F
847,1208,502,F
848,1209,502,F
849,1210,502,F
850,1211,502,F
851,1212,502,F
852,1213,502,F
853,1214,502,F
854,1215,502,F
855,1216,502,F
856,1217,502,F
857,1218,502,F
858,1219,502,F
859,1220,502,F
860,1221,502,F
861,1222,502,F
862,1223,502,F
863,1224,502,F
864,1225,502,F
865,1226,502,F
866,1227,502,F
867,1228,502,F
868,1229,502,F
869,1230,502,F
870,1231,502,F
871,1232,502,F
872,1234,502,F
873,1235,502,F
874,1236,502,F
875,1237,502,F
876,1238,502,F
877,1239,502,F
878,1242,502,F
879,1243,502,F
880,1244,502,F
881,1246,502,F
882,1247,502,F
883,1248,502,F
884,1249,502,F
885,1250,502,F
886,1251,502,F
887,1252,502,F
888,1253,502,F
889,1254,502,F
890,1255,502,F
891,1256,502,F
892,1257,502,F
893,1258,502,F
894,1259,502,F
895,1260,502,F
896,1261,502,F
897,1262,502,F
898,1263,502,F
899,1264,502,F
900,1265,502,F
901,1266,502,F
902,1267,502,F
903,1268,502,F
904,1269,502,F
905,1270,502,F
906,1271,502,F
907,1272,502,F
908,1273,502,F
909,1274,502,F
910,1275,502,F
911,1276,502,F
912,1277,502,F
913,1278,502,F
914,1279,502,F
915,1280,502,F
916,1281,502,F
917,1282,502,F
918,1283,502,F
919,1284,502,F
920,1285,502,F
921,1286,502,F
922,1287,502,F
923,1288,502,F
924,1289,502,F
925,1290,502,F
926,1291,502,F
927,1292,502,F
928,1293,502,F
929,1294,502,F
930,1295,502,F
931,1296,502,F
932,1297,502,F
933,1298,502,F
934,1299,502,F
935,1300,502,F
936,1301,502,F
937,1302,502,F
938,1303,502,F
939,1304,502,F
940,1305,502,F
941,1306,502,F
942,1307,502,F
943,1308,502,F
944,1309,502,F
945,1310,502,F
946,1311,502,F
947,1312,502,F
948,1313,502,F
949,1314,502,F
950,1315,502,F
951,1316,502,F
952,1317,502,F
953,1318,502,F
954,1319,502,F
955,1320,502,F
956,1321,502,F
957,1322,502,F
958,1323,502,F
959,1324,502,F
960,1325,502,F
961,1326,502,F
962,1327,502,F
963,1328,502,F
964,1329,502,F
965,1330,502,F
966,1331,502,F
967,1332,502,F
968,1333,502,F
969,1334,502,F
970,1335,502,F
971,1336,502,F
972,1337,502,F
973,1338,502,F
974,1339,502,F
975,1340,502,F
976,1341,502,F
977,1342,502,F
978,1343,502,F
979,1344,502,F
980,1345,502,F
981,1346,502,F
982,1347,502,F
983,1348,502,F
984,1349,502,F
985,1350,502,F
986,1351,502,F
987,1352,502,F
988,1353,502,F
989,1354,502,F
990,1355,502,F
991,1356,502,F
992,1357,502,F
993,1358,502,F
994,1359,502,F
995,1360,502,F
996,1361,502,F
997,1362,502,F
998,1363,502,F
999,1364,502,F
1000,1365,502,F
1001,1366,502,F
1002,1367,502,F
1003,1368,502,F
1004,1369,502,F
1005,1370,502,F
1006,1371,502,F
1007,1372,502,F
1008,1373,502,F
1009,1374,502,F
1010,1375,502,F
1011,1376,502,F
1012,1377,502,F
1013,1378,502,F
1014,1379,502,F
1015,1380,502,F
1016,1381,502,F
1017,1382,502,F
1018,1383,502,F
1019,1384,502,F
1020,1385,502,F
1021,1386,502,F
1022,1387,502,F
1023,1388,502,F
1024,1389,502,F
1025,1390,502,F
1026,1391,502,F
1027,1392,502,F
1028,1393,502,F
1029,1394,502,F
1030,1395,502,F
1031,1396,502,F
1032,1397,502,F
1033,1398,502,F
1034,1399,502,F
1035,1400,502,F
1036,1401,502,F
1037,1402,502,F
1038,1403,502,F
1039,1404,502,F
1040,1405,502,F
1041,1406,502,F
1042,1407,502,F
1043,1408,502,F
1044,1409,502,F
1045,1410,502,F
1046,1411,502,F
1047,1412,502,F
1048,1413,502,F
1049,1414,502,F
1050,1415,502,F
1051,1416,502,F
1052,1417,502,F
1053,1418,502,F
1054,1419,502,F
1055,1420,502,F
1056,1421,502,F
1057,1422,502,F
1058,1424,502,F
1059,1425,502,F
1060,1429,502,F
1061,1430,502,F
1062,1431,502,F
1063,1432,502,F
1064,1433,502,F
1065,1434,502,F
1066,1435,502,F
1067,1436,502,F
1068,1437,502,F
1069,1438,502,F
1070,1439,502,F
1071,1440,502,F
1072,1445,502,F
1073,1446,502,F
1074,1447,502,F
1075,1448,502,F
1076,1449,502,F
1077,1450,502,F
1078,1451,502,F
1079,1452,502,F
1080,1453,502,F
1081,1454,502,F
1082,1455,502,F
1083,1456,502,F
1084,1457,502,F
1085,1458,502,F
1086,1459,502,F
1087,1460,502,F
1088,1461,502,F
1089,1462,502,F
1090,1463,502,F
1091,1464,502,F
1092,1465,502,F
1093,1466,502,F
1094,1467,502,F
1095,1468,502,F
1096,1469,502,F
1097,1470,502,F
1098,1471,502,F
1099,1472,502,F
1100,1473,502,F
1101,1474,502,F
1102,1475,502,F
1103,1476,502,F
1104,1477,502,F
1105,1478,502,F
1106,1479,502,F
1107,1480,502,F
1108,1481,502,F
1109,1482,502,F
1110,1483,502,F
1111,1484,502,F
1112,1485,502,F
1113,1486,502,F
1114,1487,502,F
1115,1488,502,F
1116,1489,502,F
1117,1490,502,F
1118,1491,502,F
1119,1492,502,F
1120,1493,502,F
1121,1494,502,F
1122,1495,502,F
1123,1496,502,F
1124,1497,502,F
1125,1498,502,F
1126,1499,502,F
1127,1500,502,F
1128,1501,502,F
1129,1502,502,F
1130,1503,502,F
1131,1504,502,F
1132,1505,502,F
1133,1506,502,F
1134,1507,502,F
1135,1508,502,F
1136,1509,502,F
1137,1510,502,F
1138,1511,502,F
1139,1512,502,F
1140,1513,502,F
1141,1514,502,F
1142,1516,502,F
1143,1517,502,F
1144,1521,502,F
1145,1522,502,F
1146,1523,502,F
1147,1524,502,F
1148,1525,502,F
1149,1526,502,F
1150,1527,502,F
1151,1528,502,F
1152,1529,502,F
1153,1530,502,F
1154,1531,502,F
1155,1532,502,F
1156,1533,502,F
1157,1534,502,F
1158,1535,502,F
1159,1536,502,F
1160,1537,502,F
1161,1538,502,F
1162,1539,502,F
1163,1540,502,F
1164,1541,502,F
1165,1542,502,F
1166,1543,502,F
1167,1544,502,F
1168,1545,502,F
1169,1546,502,F
1170,1548,502,F
1171,1549,502,F
1172,1550,502,F
1173,1551,502,F
1174,1556,502,F
1175,1557,502,F
1176,1558,502,F
1177,1559,502,F
1178,1560,502,F
1179,1561,502,F
1180,1562,502,F
1181,1563,502,F
1182,1564,502,F
1183,1565,502,F
1184,1566,502,F
1185,1567,502,F
1186,1569,502,F
1187,1570,502,F
1188,1571,502,F
1189,1572,502,F
1190,1575,502,F
1191,1576,502,F
1192,1577,502,F
1193,1578,502,F
1194,1579,502,F
1195,1580,502,F
1196,1581,502,F
1197,1582,502,F
1198,1583,502,F
1199,1584,502,F
1200,1586,502,F
1201,1587,502,F
1202,1588,502,F
1203,1589,502,F
1204,1590,502,F
1205,1591,502,F
1206,1592,502,F
1207,1593,502,F
1208,1595,502,F
1209,1596,502,F
1210,1598,502,F
1211,1599,502,F
1212,1601,502,F
1213,1602,502,F
1214,1603,502,F
1215,1604,502,F
1216,1605,502,F
1217,1606,502,F
1218,1607,502,F
1219,1608,502,F
1220,1609,502,F
1221,1610,502,F
1222,1611,502,F
1223,1612,502,F
1224,1613,502,F
1225,1614,502,F
1226,1615,502,F
1227,1616,502,F
1228,1617,502,F
1229,1618,502,F
1230,1619,502,F
1231,1620,502,F
1232,1621,502,F
1233,1622,502,F
1234,1623,502,F
1235,1624,502,F
1236,1627,502,F
1237,1628,502,F
1238,1629,502,F
1239,1630,502,F
1240,1631,502,F
1241,1632,502,F
1242,1633,502,F
1243,1634,502,F
1244,1635,502,F
1245,1636,502,F
1246,1637,502,F
1247,1638,502,F
1248,1639,502,F
1249,1640,502,F
1250,1641,502,F
1251,1642,502,F
1252,1643,502,F
1253,1644,502,F
1254,1645,502,F
1255,1646,502,F
1256,1647,502,F
1257,1648,502,F
1258,1649,502,F
1259,1650,502,F
1260,1651,502,F
1261,1652,502,F
1262,1653,502,F
1263,1654,502,F
1264,1655,502,F
1265,1656,502,F
1266,1657,502,F
1267,1658,502,F
1268,1659,502,F
1269,1661,502,F
1270,1662,502,F
1271,1664,502,F
1272,1665,502,F
1273,1668,502,F
1274,1669,502,F
1275,1670,502,F
1276,1671,502,F
1277,1672,502,F
1278,1673,502,F
1279,1674,502,F
1280,1675,502,F
1281,1676,502,F
1282,1677,502,F
1283,1678,502,F
1284,1679,502,F
1285,1680,502,F
1286,1681,502,F
1287,1682,502,F
1288,1683,502,F
1289,1684,502,F
1290,1685,502,F
1291,1686,502,F
1292,1687,502,F
1293,1688,502,F
1294,1689,502,F
1295,1690,502,F
1296,1691,502,F
1297,1692,502,F
1298,1693,502,F
1299,1694,502,F
1300,1695,502,F
1301,1696,502,F
1302,1697,502,F
1303,1698,502,F
1304,1699,502,F
1305,1700,502,F
1306,1701,502,F
1307,1702,502,F
1308,1703,502,F
1309,1704,502,F
1310,1705,502,F
1311,1706,502,F
1312,1707,502,F
1313,1708,502,F
1314,1709,502,F
1315,1710,502,F
1316,1711,502,F
1317,1712,502,F
1318,1713,502,F
1319,1714,502,F
1320,1715,502,F
1321,1716,502,F
1322,1717,502,F
1323,1721,502,F
1324,1722,502,F
1325,1724,502,F
1326,1725,502,F
1327,1726,502,F
1328,1727,502,F
1329,1728,502,F
1330,1729,502,F
1331,1730,502,F
1332,1731,502,F
1333,1732,502,F
1334,1733,502,F
1335,1734,502,F
1336,1735,502,F
1337,1736,502,F
1338,1737,502,F
1339,1738,502,F
1340,1739,502,F
1341,1740,502,F
1342,1741,502,F
1343,1742,502,F
1344,1743,502,F
1345,1744,502,F
1346,1745,502,F
1347,1746,502,F
1348,1747,502,F
1349,1748,502,F
1350,1749,502,F
1351,1752,502,F
1352,1753,502,F
1353,1754,502,F
1354,1755,502,F
1355,1756,502,F
1356,1757,502,F
1357,1758,502,F
1358,1759,502,F
1359,1760,502,F
1360,1761,502,F
1361,1762,502,F
1362,1763,502,F
1363,1764,502,F
1364,1765,502,F
1365,1766,502,F
1366,1767,502,F
1367,1768,502,F
1368,1769,502,F
1369,1770,502,F
1370,1771,502,F
1371,1772,502,F
1372,1773,502,F
1373,1775,502,F
1374,1776,502,F
1375,1780,502,F
1376,1781,502,F
1377,1782,502,F
1378,1783,502,F
1379,1784,502,F
1380,1785,502,F
1381,1786,502,F
1382,1787,502,F
1383,1791,502,F
1384,1792,502,F
1385,1793,502,F
1386,1794,502,F
1387,1795,502,F
1388,1796,502,F
1389,1797,502,F
1390,1798,502,F
1391,1801,502,F
1392,1802,502,F
1393,1803,502,F
1394,1804,502,F
1395,1805,502,F
1396,1806,502,F
1397,1807,502,F
1398,1808,502,F
1399,1809,502,F
1400,1810,502,F
1401,1811,502,F
1402,1812,502,F
1403,1813,502,F
1404,1814,502,F
1405,1815,502,F
1406,1816,502,F
1407,1817,502,F
1408,1818,502,F
1409,1819,502,F
1410,1820,502,F
